ep,precision,recall,f1,auc
5,0.8962873733632479,0.8133190578158459,0.8526391713002954,0.8600175014528014
10,0.9089487638277105,0.8116059957173448,0.8572716297404233,0.8653594920508583
15,0.9105145390101295,0.8124625267665952,0.8583424103976826,0.8663368600042056
20,0.9323834616085733,0.8070663811563169,0.8651010062973269,0.8745257988146949
25,0.956693929518042,0.7949678800856532,0.8683464950503287,0.8797225884060791
30,0.948024800369843,0.8024197002141328,0.8689757917399681,0.8792563126202659
35,0.9626948950687962,0.7916059957173448,0.8685857844465272,0.8805231668132659
40,0.9505872176001998,0.8035974304068523,0.8708629225404622,0.8811123371675232
45,0.963017170963304,0.7979443254817987,0.8726326821538283,0.883734570343856
50,0.9555605106760758,0.8014132762312633,0.8716553869586603,0.8822377891187996
55,0.9478858497409206,0.8050963597430407,0.8704232154735605,0.8804362474533576
60,0.9684474322825593,0.7966167023554604,0.8740887215814991,0.8854255634269381
65,0.9655233488261955,0.7971306209850106,0.8731502445278033,0.8843942439666341
70,0.9735433133932496,0.7921413276231264,0.8734687810898748,0.8854054050998421
75,0.9792100690424452,0.7868950749464667,0.8723921910273924,0.8850420464489461
80,0.9646588827291311,0.8009207708779446,0.8751490638529453,0.8859302904020134
85,0.9733411569710024,0.7966809421841542,0.876168368224717,0.8875484964352661
90,0.9766971914712305,0.7944325481798716,0.8761579247875343,0.8878392941532937
95,0.9788692549258675,0.7914346895074946,0.8751314454013788,0.8871851377843702
100,0.9686819982734489,0.7985438972162742,0.8753938083377016,0.8865053171403442
105,0.9835374197008274,0.790492505353319,0.876501012324792,0.8887098218424461
110,0.9739672998274724,0.7967237687366168,0.8764602179267407,0.8878444609258586
115,0.9704321696937541,0.7967023554603854,0.8749628599962394,0.886302603284575
120,0.9680579237175932,0.7988008565310493,0.8752783970232967,0.8863486859212796
125,0.9677800466421027,0.795610278372591,0.8728309261761734,0.8842254137375098
130,0.9812222772233608,0.7919914346895075,0.8764742361643839,0.8884877975981857
135,0.9728687582561054,0.7941113490364026,0.8743603271536631,0.8860419469574832
140,0.9661728990459038,0.7994646680942183,0.8748923373251164,0.8858674977218716
145,0.9653818467108954,0.7999357601713064,0.8748528123926204,0.8857545749114188
150,0.9721849194571722,0.7965524625267666,0.8756142887216717,0.8869985121503948
155,0.9674895963962494,0.7997002141327623,0.8755507015169299,0.8864921345215027
160,0.9660713127069924,0.7981584582441115,0.8740570519576338,0.8851721541484548
165,0.961552315023249,0.7993147751605996,0.8727046267453028,0.8835855818780822
170,0.9826898894793268,0.7853104925053533,0.8728000330004386,0.885738667583194
175,0.9685887074599144,0.7976017130620984,0.8747309856446812,0.8859391881044388
180,0.9707454989629545,0.7968522483940044,0.8751731436114913,0.8865148253585651
185,0.9678815767436743,0.7988865096359744,0.8752738845318326,0.886338714163288
190,0.971621548960668,0.7969164882226981,0.8755788637372213,0.8869059737839996
195,0.9636991248721796,0.8001498929336188,0.8743036208282422,0.8851647035945812
200,0.9696342300596201,0.7962955032119916,0.8744278700492194,0.885814066283926
