L,precision,recall,f1,auc
4,0.643884892,0.191648822,0.295379538,0.543554084
8,0.61829653,0.209850107,0.313349321,0.541039098
12,0.646874926,0.218543897,0.323484819,0.548384937
16,0.676156584,0.203426124,0.312757202,0.5536666
20,0.672498781,0.205139186,0.311563336,0.551365792
24,0.640866873,0.221627409,0.329355609,0.549567664
28,0.616826133,0.240278373,0.341272129,0.543338764
32,0.603773585,0.239828694,0.343295019,0.542300831
36,0.588290521,0.276638116,0.376088196,0.542754116
40,0.603286385,0.2751606,0.377941176,0.548351155
44,0.586371905,0.288972163,0.384591506,0.542595902
48,0.600907029,0.28372591,0.385454545,0.548937929
52,0.599373374,0.262847966,0.364550309,0.544243413
56,0.590128755,0.294432548,0.392857143,0.546371501
60,0.577616305,0.328029979,0.41439821,0.543476447
64,0.585987261,0.295503212,0.392882562,0.544794901
68,0.583518931,0.280513919,0.378886479,0.541524119
72,0.586206897,0.273019272,0.372534697,0.541472677
76,0.581291759,0.279443255,0.377440347,0.540460804
80,0.589327146,0.271948608,0.372161172,0.542521295
84,0.601830664,0.281584582,0.383661561,0.548923231
88,0.615979381,0.255888651,0.361573374,0.549274843
92,0.603015075,0.256959315,0.36036036,0.545058327
96,0.607052897,0.258029979,0.362133734,0.546649625
100,0.609756098,0.267665953,0.37202381,0.54935568
