ep,precision,recall,f1,auc
5,0.8879082781984252,0.9222055674518201,0.9045350644036931,0.903425909385889
10,0.9159359790936322,0.9174518201284796,0.9166417245195377,0.9171208414264362
15,0.9290011152017864,0.9139828693790151,0.9213492576415302,0.9224191010041853
20,0.9479378237291743,0.9059743040685226,0.9264141439315301,0.9283620200384851
25,0.946426695687418,0.9082226980728051,0.9268303370609553,0.9286097650870889
30,0.945024565943752,0.9088865096359744,0.926549354772585,0.9282975314811339
35,0.9496570428135225,0.907880085653105,0.9282658788601589,0.9301596837980414
40,0.9542916012988789,0.9054817987152035,0.9291376180024021,0.9311991886923431
45,0.9523582554917204,0.9073447537473234,0.9292618410335717,0.931222535268593
50,0.9570058889895549,0.9059743040685224,0.9307579889786102,0.9328709957512623
55,0.9630652677077904,0.9034903640256959,0.9323122216471069,0.9346385294257307
60,0.9483523147849202,0.9103854389721627,0.9289275068305389,0.9306626244491227
65,0.9634620774371967,0.9021413276231265,0.9317597440816292,0.9341646448041714
70,0.95700847871775,0.907408993576017,0.9315137263649347,0.9335566615187371
75,0.9609159137017289,0.9061027837259101,0.9326908398765202,0.9348570940804839
80,0.9632666418662152,0.9045182012847965,0.9329549893414011,0.9352369253520076
85,0.968555756630391,0.8978586723768736,0.931816480469313,0.934515397434477
90,0.960360300462007,0.9055246252676659,0.9320216041570077,0.9341773073540018
95,0.9670560061721016,0.9017987152034261,0.9332124671088536,0.9356617652046698
100,0.9591265837382469,0.9080942184154175,0.9328993744838096,0.9349446804854279
105,0.9667906296482671,0.9039186295503212,0.9342902187080684,0.9366372450813908
110,0.9690030810218517,0.9005995717344756,0.9334970812001017,0.9360336823825491
115,0.9623010015337422,0.9063597430406852,0.933431896038193,0.935587474477048
120,0.9604581409637857,0.9080085653104925,0.9334629319256993,0.9355143143342325
125,0.9674212284212568,0.90406852248394,0.9346623930678544,0.9370078620867431
130,0.9708062219735994,0.9004282655246252,0.9341621410607261,0.9367083249481628
135,0.9670416691178616,0.906017130620985,0.935484046908067,0.9377181746029953
140,0.965225478390341,0.9063597430406852,0.934859330374895,0.9370658271697621
145,0.9610626733078556,0.9085010706638116,0.934036451325791,0.9360879165357072
150,0.9561385183117173,0.9098072805139187,0.9323828755770068,0.9343017395177831
155,0.9649609946708295,0.9061027837259101,0.934573991787358,0.9367895122431028
160,0.9657172034050865,0.905695931477516,0.9347405703155657,0.9369873532783569
165,0.9649809027064815,0.903576017130621,0.9332371871101366,0.9355789272559124
170,0.9643467963478021,0.9059100642398288,0.9342003477460168,0.936418601285701
175,0.9681652458753461,0.903811563169165,0.9348733544211987,0.9372384109404431
180,0.9664425477964828,0.9042826552462526,0.9342906042059012,0.9366080646875404
185,0.9667171163851873,0.9059957173447537,0.9353621534031201,0.9376018713439714
190,0.9684229561752785,0.9042184154175588,0.9351762583856563,0.9375157546992757
195,0.9673907088314911,0.9055674518201287,0.9354298315441996,0.9376939687822923
200,0.9601888497333839,0.907730192719486,0.9331902756511486,0.9352589717557304
