L,precision,recall,f1,auc
4,0.733875556,0.5724197,0.642965674,0.683696651
8,0.740223464,0.56745182,0.642424242,0.685521053
12,0.850341701,0.534753747,0.656449861,0.720787645
16,0.852739726,0.533190578,0.656126482,0.721188742
20,0.919995785,0.508436831,0.654835654,0.732328236
24,0.918918919,0.509635974,0.655647383,0.732642697
28,0.949698385,0.502698073,0.657180367,0.738022743
32,0.914933837,0.518201285,0.661654135,0.735341403
36,0.901743107,0.524389722,0.661918353,0.732807321
40,0.932038835,0.51391863,0.66252588,0.738479906
44,0.921649809,0.515717345,0.660745902,0.735620024
48,0.923664122,0.518201285,0.663923182,0.737981318
52,0.851097038,0.53888651,0.659762809,0.722780108
56,0.91634981,0.516059957,0.660273973,0.734798722
60,0.890970148,0.531948608,0.665913769,0.73360894
64,0.951903808,0.50856531,0.662944871,0.741611061
68,0.959432049,0.506423983,0.662929222,0.742652329
72,0.918095238,0.516059957,0.660726525,0.735326705
76,0.927203065,0.518201285,0.664835165,0.739037284
80,0.919694073,0.514989293,0.66026081,0.735319356
84,0.932432432,0.517130621,0.665289256,0.740085902
88,0.921606119,0.516059957,0.661633493,0.736382671
92,0.930501931,0.516059957,0.663911846,0.739022587
96,0.936046512,0.517130621,0.666206897,0.741141868
100,0.920754717,0.52248394,0.666666667,0.73906668
