L,precision,recall,f1,auc
4,0.820850202,0.868308351,0.843912591,0.840701166
8,0.89524838,0.8875803,0.891397849,0.892575789
12,0.968973747,0.869379015,0.916478555,0.920961947
16,0.948198198,0.901498929,0.924259056,0.926462242
20,0.958950969,0.900428266,0.928768636,0.931206741
24,0.965792474,0.906852248,0.935394809,0.937586631
28,0.970149254,0.904710921,0.936288089,0.9386279
32,0.974537037,0.901498929,0.936596218,0.939133836
36,0.970183486,0.905781585,0.936877076,0.939163232
40,0.988262911,0.901498929,0.942889138,0.945469634
44,0.98943662,0.902569593,0.944008959,0.946532949
48,0.982598608,0.906852248,0.943207127,0.945506378
52,0.973563218,0.906852248,0.93902439,0.941282513
56,0.975694444,0.902569593,0.937708565,0.940197151
60,0.98255814,0.904710921,0.942028986,0.944435714
64,0.974625144,0.904710921,0.938367574,0.940739832
68,0.973623853,0.908993576,0.940199336,0.942353177
72,0.984901278,0.907922912,0.944846797,0.947097676
76,0.974625144,0.904710921,0.938367574,0.940739832
80,0.972508591,0.908993576,0.939679026,0.941825193
84,0.967157418,0.914346895,0.940011007,0.941861938
88,0.974712644,0.907922912,0.940133038,0.942345828
92,0.961754781,0.915417559,0.938014262,0.939757354
96,0.970420933,0.913276231,0.940981798,0.942910555
100,0.973654066,0.91006424,0.940785833,0.942888509
