ep,precision,recall,f1,auc
5,0.496882915,0.621691649,0.544484307,0.500476236
10,0.4981632,0.441991435,0.460944033,0.501428663
15,0.498604413,0.525117773,0.503479539,0.502242097
20,0.5002373,0.586980728,0.52470961,0.502951821
25,0.501022658,0.553832976,0.503518794,0.505142465
30,0.500629143,0.606381156,0.54050184,0.503898076
35,0.500485228,0.647430407,0.556188417,0.504031993
40,0.501019401,0.59490364,0.53835271,0.504421197
45,0.503492723,0.606723769,0.531384129,0.505949002
50,0.506099265,0.370877944,0.398792442,0.50457308
55,0.506417052,0.451713062,0.451498593,0.506363395
60,0.504261185,0.470899358,0.47686142,0.505998781
65,0.501162616,0.521948608,0.500264994,0.504205561
70,0.503727391,0.484668094,0.481871831,0.505185156
75,0.503806037,0.367494647,0.421255219,0.505637503
80,0.501045737,0.467087794,0.479574784,0.503976843
85,0.500605025,0.426680942,0.445658474,0.502654093
90,0.503410655,0.383768737,0.429120235,0.504429247
95,0.502976515,0.457687366,0.471926462,0.505168921
100,0.500171654,0.521734475,0.503761368,0.502567343
105,0.50587096,0.420149893,0.455231148,0.507424471
110,0.504709774,0.390963597,0.43054797,0.50545012
115,0.501898407,0.452205567,0.468720175,0.50372686
120,0.498526195,0.476766595,0.479407847,0.501561756
125,0.503872026,0.331670236,0.384251738,0.502910091
130,0.503506896,0.403190578,0.440141143,0.5043936
135,0.50161223,0.389014989,0.435810496,0.503345932
140,0.50101459,0.506702355,0.496453493,0.503013269
145,0.503423274,0.372740899,0.425393373,0.505145529
150,0.499564404,0.453640257,0.467851246,0.501286866
155,0.499349805,0.411134904,0.450968878,0.502293957
160,0.499353169,0.413276231,0.452255419,0.502308654
165,0.496143959,0.413276231,0.450934579,0.499668739
170,0.491764706,0.447537473,0.468609865,0.495680035
175,0.507936508,0.411134904,0.45443787,0.509157737
180,0.5,0.41862955,0.455710956,0.502873381
185,0.503816794,0.423982869,0.460465116,0.506078024
190,0.497474747,0.421841542,0.456546929,0.500783495
195,0.531824611,0.402569593,0.45825716,0.526522389
200,0.511348465,0.41006424,0.455139632,0.511790304
