L,precision,recall,f1,auc
4,0.783796419,0.713897216,0.746877463,0.759567404
8,0.770880361,0.731263383,0.750549451,0.758451121
12,0.910113985,0.72745182,0.808315398,0.828002573
16,0.926592798,0.71627409,0.807971014,0.83015394
20,0.940823185,0.719100642,0.814884219,0.836942085
24,0.947592068,0.71627409,0.815853659,0.83860167
28,0.955281307,0.716423983,0.818682288,0.841569964
32,0.967789165,0.707708779,0.817563389,0.842238761
36,0.978046157,0.705246253,0.819450598,0.844735059
40,0.951428571,0.713062099,0.815177479,0.838579624
44,0.953769188,0.715974304,0.817664551,0.84056371
48,0.965217391,0.713062099,0.820197044,0.843859455
52,0.953185493,0.718051392,0.818855353,0.841380501
56,0.954350927,0.71627409,0.818348624,0.841241586
60,0.969954159,0.703618844,0.815566283,0.841028007
64,0.955587393,0.714132762,0.817401961,0.840698905
68,0.976154993,0.701284797,0.816199377,0.842194669
72,0.962481962,0.714132762,0.819913952,0.84333882
76,0.977711738,0.704496788,0.818917237,0.844328647
80,0.972017673,0.706638116,0.818350899,0.843287379
84,0.966325037,0.706638116,0.816326531,0.841175446
88,0.970631424,0.707708779,0.818575851,0.843294728
92,0.973174367,0.699143469,0.813707165,0.840068039
96,0.97037037,0.701284797,0.814170292,0.840082736
100,0.973254086,0.701284797,0.815183572,0.841138702
