ep,precision,recall,f1,auc
5,0.757070806,0.497044968,0.598906427,0.66865976
10,0.789434369,0.475974304,0.593218751,0.674755895
15,0.807035331,0.462226981,0.585229006,0.674228591
20,0.82880293,0.449443255,0.582462305,0.678597023
25,0.874664795,0.427109208,0.573722344,0.683132217
30,0.871243977,0.429700214,0.574610927,0.682664257
35,0.864147181,0.435224839,0.577471602,0.682554342
40,0.854735609,0.440813704,0.58042862,0.682328711
45,0.896908251,0.418201285,0.570069696,0.685045732
50,0.867054475,0.42856531,0.573343583,0.68162162
55,0.877899004,0.423982869,0.571364151,0.682466619
60,0.875787379,0.427815846,0.57406575,0.683253224
65,0.866710754,0.432376874,0.575141068,0.681616103
70,0.901106003,0.412441113,0.565042586,0.683126576
75,0.865851297,0.429528908,0.572488015,0.680382194
80,0.876431443,0.425224839,0.571397026,0.681873243
85,0.833896311,0.44856531,0.583138255,0.680016552
90,0.843050071,0.438950749,0.577026468,0.678884034
95,0.876001429,0.42490364,0.571833665,0.68245182
100,0.844344218,0.43882227,0.576790628,0.678840913
105,0.842956134,0.443640257,0.579548977,0.679465324
110,0.862454008,0.427044968,0.569898406,0.678728397
115,0.845337752,0.436895075,0.575029384,0.678109628
120,0.828671263,0.448265525,0.580540208,0.677268982
125,0.832957571,0.445910064,0.580605675,0.67863613
130,0.821211761,0.454710921,0.583761082,0.676975313
135,0.835335504,0.443190578,0.578183482,0.677645975
140,0.835033125,0.444132762,0.579297036,0.678286022
145,0.856506012,0.431456103,0.573401419,0.679614007
150,0.822224777,0.446552463,0.578579708,0.675462081
155,0.8434238,0.43254818,0.571832979,0.676675357
160,0.838383838,0.444325482,0.580825752,0.679924093
165,0.848979592,0.445396146,0.584269663,0.683627323
170,0.810707457,0.453961456,0.582017845,0.674710401
175,0.79588015,0.45503212,0.579019074,0.669965902
180,0.829268293,0.436830835,0.572230014,0.674064837
185,0.826003824,0.462526767,0.592999314,0.683216921
190,0.813102119,0.451820128,0.580867171,0.674695703
195,0.845833333,0.434689507,0.574257426,0.678274004
200,0.839506173,0.436830835,0.574647887,0.677232735
