ep,precision,recall,f1,auc
5,0.851855705,0.749229122,0.797018465,0.810021108
10,0.896066141,0.731991435,0.805537168,0.823852106
15,0.904516526,0.729700214,0.807475474,0.826486855
20,0.920618719,0.722890792,0.809687538,0.830516146
25,0.933864767,0.718351178,0.812010821,0.834043593
30,0.950165962,0.707880086,0.811280533,0.83559791
35,0.940856138,0.716167024,0.81322917,0.835834304
40,0.941957176,0.714603854,0.812584555,0.835485665
45,0.94441625,0.716509636,0.814651733,0.83726221
50,0.952247228,0.711284797,0.814160088,0.837881047
55,0.964520158,0.704732334,0.814375649,0.839546737
60,0.958122717,0.708950749,0.81476824,0.839037149
65,0.962481108,0.707130621,0.815223639,0.839922227
70,0.97716916,0.697301927,0.813754015,0.840541143
75,0.957344513,0.709892934,0.815178789,0.839265369
80,0.961459636,0.707773019,0.815308624,0.839863278
85,0.97320343,0.699828694,0.813989302,0.840262816
90,0.962990426,0.7075803,0.8152931,0.839904194
95,0.977534588,0.697858672,0.814147971,0.840872314
100,0.974535834,0.701905782,0.815876889,0.841744865
105,0.96731909,0.707130621,0.816973863,0.841749049
110,0.963242908,0.706788009,0.81515841,0.839919875
115,0.967691759,0.705182013,0.815294118,0.840415716
120,0.956139633,0.71117773,0.815458473,0.839284747
125,0.966146037,0.706895075,0.815957299,0.840775943
130,0.957784997,0.711284797,0.816278951,0.840130255
135,0.967853579,0.7051606,0.815634156,0.840785157
140,0.941649182,0.723404711,0.818112579,0.839484826
145,0.955876952,0.715353319,0.818129608,0.841214146
150,0.972207049,0.70359743,0.816068457,0.841587522
155,0.966423358,0.708779443,0.817788758,0.84224611
160,0.960812772,0.708779443,0.815773259,0.840134178
165,0.941908714,0.729122056,0.821967411,0.842385737
170,0.979041916,0.700214133,0.816479401,0.842715303
175,0.941747573,0.726980728,0.820543807,0.841315074
180,0.969343066,0.710920771,0.820259419,0.84437274
185,0.957848837,0.705567452,0.812577065,0.837472216
190,0.959302326,0.706638116,0.813810111,0.838535531
195,0.965417867,0.717344754,0.823095823,0.846000782
200,0.973412112,0.705567452,0.818125388,0.84328003
