L,precision,recall,f1,auc
4,0.770754484,0.626231263,0.690832454,0.721151535
8,0.771907216,0.641327623,0.700584795,0.727210802
12,0.883459458,0.632462527,0.736852672,0.774795149
16,0.889057751,0.62633833,0.734924623,0.774626398
20,0.920938047,0.611563169,0.734806044,0.779720339
24,0.901386749,0.62633833,0.739102969,0.779378246
28,0.928777312,0.621134904,0.744033916,0.786670937
32,0.920760697,0.622055675,0.742492013,0.784628682
36,0.920806191,0.625396146,0.744662918,0.785929329
40,0.921011058,0.624197002,0.744097001,0.785699346
44,0.94368525,0.612976445,0.742779835,0.787987695
48,0.938411669,0.619914347,0.746615087,0.789893815
52,0.934638755,0.611905782,0.739080331,0.784252785
56,0.930420712,0.615631692,0.740979381,0.785112572
60,0.921347827,0.626616702,0.745409283,0.786360094
64,0.935483871,0.620985011,0.746460746,0.789373181
68,0.948844884,0.615631692,0.746753247,0.79144837
72,0.93627451,0.613490364,0.741267788,0.786153841
76,0.9408867,0.613490364,0.742709008,0.78773779
80,0.937908497,0.614561028,0.742561449,0.787217156
84,0.921011058,0.624197002,0.744097001,0.785699346
88,0.922345483,0.623126338,0.743769968,0.785691997
92,0.944078947,0.614561028,0.744487678,0.789329088
96,0.944078947,0.614561028,0.744487678,0.789329088
100,0.921507064,0.628479657,0.747294717,0.787840673
