L,precision,recall,f1,auc
4,0.676187721,0.513447537,0.583531842,0.635351013
8,0.675070028,0.516059957,0.584951456,0.635537898
12,0.812940625,0.454197002,0.582584784,0.675387836
16,0.815384615,0.453961456,0.583218707,0.67629435
20,0.837608164,0.435760171,0.571958581,0.674870582
24,0.83234714,0.451820128,0.585704372,0.6810315
28,0.852810846,0.440192719,0.580111906,0.682123815
32,0.84178499,0.444325482,0.581639804,0.680980059
36,0.877368288,0.437408994,0.5832293,0.688070917
40,0.845528455,0.445396146,0.58345021,0.682571357
44,0.862402577,0.445888651,0.587142385,0.687273787
48,0.846153846,0.447537473,0.585434174,0.683642021
52,0.817007767,0.474882227,0.599346599,0.683850828
56,0.836852207,0.466809422,0.599312715,0.688526147
60,0.817206655,0.466167024,0.593229349,0.681140534
64,0.833333333,0.465738758,0.597527473,0.686934849
68,0.82791587,0.46359743,0.594371997,0.684280236
72,0.882608696,0.434689507,0.582496413,0.688833666
76,0.842942346,0.453961456,0.590118302,0.685270063
80,0.85,0.45503212,0.592747559,0.687917327
84,0.842209073,0.457173448,0.592643997,0.686348075
88,0.84086444,0.458244111,0.593208593,0.686355424
92,0.84950495,0.459314775,0.596247394,0.689530672
96,0.84139265,0.465738758,0.599586492,0.689574764
100,0.842105263,0.462526767,0.597097443,0.688496752
