ep,precision,recall,f1,auc
5,0.648531738,0.379657388,0.475136686,0.585594269
10,0.715629796,0.297880086,0.42000783,0.590059367
15,0.734033549,0.288201285,0.41180214,0.59073211
20,0.689509602,0.338115632,0.449367491,0.590673444
25,0.736550452,0.288115632,0.412134267,0.591481258
30,0.750983555,0.28130621,0.407605861,0.593155745
35,0.782600349,0.261755889,0.391317089,0.594246477
40,0.750420917,0.283811563,0.410724648,0.59446122
45,0.811184989,0.249892934,0.379240416,0.593795464
50,0.768615131,0.274582441,0.403854207,0.595876226
55,0.76550721,0.276959315,0.404175494,0.594414187
60,0.74219203,0.29366167,0.418583104,0.594898417
65,0.716607599,0.311541756,0.430822002,0.592043317
70,0.750939466,0.285546039,0.411256866,0.594029619
75,0.755137758,0.282719486,0.410581607,0.595435773
80,0.754468085,0.282012848,0.409705937,0.595040215
85,0.748230575,0.286231263,0.412671593,0.594467268
90,0.749801972,0.285653105,0.411997734,0.594347144
95,0.764888966,0.274732334,0.402193706,0.593965956
100,0.706515079,0.312012848,0.431075058,0.590620996
105,0.728766614,0.294925054,0.419707417,0.593164744
110,0.699038004,0.310920771,0.429333179,0.588522687
115,0.703066538,0.31490364,0.433402898,0.590514122
120,0.739166096,0.290471092,0.415755686,0.593609358
125,0.704859768,0.327665953,0.442622559,0.592206788
130,0.706787956,0.310556745,0.429613555,0.590262533
135,0.691882686,0.334325482,0.450091947,0.593150069
140,0.733995538,0.293468951,0.418642433,0.593661614
145,0.686076288,0.330642398,0.445552008,0.590125845
150,0.691968683,0.326059957,0.441472523,0.589914878
155,0.6563147,0.339400428,0.447424135,0.582055019
160,0.660455487,0.341541756,0.450247001,0.584181649
165,0.665979381,0.345824411,0.455250176,0.587378943
170,0.653767821,0.343683084,0.450526316,0.582084414
175,0.668674699,0.356531049,0.465083799,0.591148312
180,0.744565217,0.293361884,0.420890937,0.59705053
185,0.644736842,0.367237687,0.467939973,0.583830037
190,0.653846154,0.364025696,0.467675378,0.586975889
195,0.71291866,0.319057816,0.440828402,0.596170935
200,0.681434599,0.345824411,0.458806818,0.593186757
