ep,precision,recall,f1,auc
5,0.582603132,0.343254818,0.426197169,0.547202911
10,0.622396666,0.266531049,0.367753986,0.550097626
15,0.626676484,0.26496788,0.368422599,0.551702525
20,0.648784555,0.259336188,0.355707104,0.551146447
25,0.678762529,0.211605996,0.317354415,0.552540062
30,0.68754043,0.214261242,0.320106932,0.554617421
35,0.699434354,0.189614561,0.296134365,0.553128294
40,0.694777458,0.190107066,0.298086021,0.553638538
45,0.657339377,0.242184154,0.345633334,0.553848149
50,0.683167052,0.217965739,0.320776313,0.553259533
55,0.639437399,0.24620985,0.353755713,0.55356955
60,0.681154013,0.2,0.305519092,0.552006336
65,0.643693727,0.238479657,0.345949035,0.552724517
70,0.656580139,0.225331906,0.331922567,0.552169649
75,0.628274105,0.254646681,0.356829147,0.550068853
80,0.618289571,0.279807281,0.378104774,0.550917368
85,0.665191571,0.221862955,0.325356125,0.551702333
90,0.629870553,0.251006424,0.358066291,0.552092441
95,0.629845165,0.254175589,0.360589396,0.552441543
100,0.624985953,0.258286938,0.362805583,0.551276521
105,0.648725994,0.230042827,0.33746166,0.552455415
110,0.609771891,0.28254818,0.384617532,0.551010098
115,0.648649446,0.223361884,0.331155153,0.551174078
120,0.648254465,0.226509636,0.332813382,0.550636022
125,0.644094166,0.228972163,0.336083161,0.551075311
130,0.605675705,0.294282655,0.393984657,0.551481349
135,0.614245092,0.275374732,0.377946986,0.550981981
140,0.626520365,0.255396146,0.360286388,0.551277798
145,0.629541095,0.242783726,0.349314309,0.550145823
150,0.608363788,0.268865096,0.371919393,0.548487458
155,0.668711656,0.233404711,0.346031746,0.55968018
160,0.658610272,0.233404711,0.344664032,0.557040265
165,0.665653495,0.234475375,0.346793349,0.559159546
170,0.681114551,0.235546039,0.350039777,0.56339076
175,0.664739884,0.246252677,0.359375,0.561880298
180,0.645533141,0.239828694,0.349726776,0.554972425
185,0.63559322,0.240899358,0.349378882,0.552339858
190,0.644628099,0.250535332,0.360832691,0.557157845
195,0.637566138,0.258029979,0.367378049,0.556681304
200,0.648725212,0.245182013,0.355866356,0.557121101
