ep,precision,recall,f1,auc
5,0.675270817,0.47509636,0.553963866,0.621719246
10,0.720684409,0.414047109,0.524579172,0.626727884
15,0.763137748,0.375010707,0.496707266,0.6254251
20,0.76992904,0.361670236,0.49160778,0.627160355
25,0.783719336,0.352141328,0.4850848,0.62744342
30,0.795870584,0.348543897,0.482985636,0.628696447
35,0.812773806,0.334518201,0.473068485,0.628494581
40,0.792661703,0.349657388,0.482384636,0.627405251
45,0.818681841,0.330920771,0.470872055,0.628976753
50,0.829479879,0.327044968,0.468196439,0.629520372
55,0.805804912,0.336573876,0.47375011,0.627389367
60,0.825609066,0.328329764,0.469456761,0.629687586
65,0.800899644,0.334646681,0.471485685,0.62577107
70,0.808095093,0.336252677,0.473731963,0.627735631
75,0.804650018,0.342291221,0.477386383,0.627682041
80,0.781066682,0.350985011,0.484116484,0.626749105
85,0.791702463,0.352462527,0.485710194,0.628649426
90,0.798774411,0.342591006,0.478700122,0.628117045
95,0.792828855,0.346745182,0.48154463,0.627881567
100,0.823804281,0.330963597,0.471785113,0.630233647
105,0.807054977,0.336059957,0.474275562,0.628177814
110,0.815774915,0.336895075,0.476090846,0.630274359
115,0.810404602,0.343811563,0.481223248,0.630913173
120,0.77164218,0.363126338,0.492203321,0.62714923
125,0.753794992,0.380985011,0.504430766,0.627789232
130,0.801197355,0.3451606,0.480777316,0.628937216
135,0.774370012,0.363319058,0.49338749,0.628375474
140,0.779181271,0.360021413,0.491097031,0.628606272
145,0.774967242,0.363190578,0.493538465,0.62874418
150,0.768590895,0.368907923,0.498239944,0.629459241
155,0.77451388,0.361401335,0.495110355,0.629015423
160,0.77018315,0.360085653,0.49972973,0.639198054
165,0.770144665,0.379014989,0.496126429,0.624438857
170,0.774556962,0.377259101,0.497443182,0.624680237
175,0.779089027,0.38117773,0.502949894,0.633751484
180,0.774331797,0.377987152,0.494210526,0.626659891
185,0.778021978,0.37372591,0.498320493,0.629592628
190,0.77969697,0.371948608,0.491898734,0.625847588
195,0.804035088,0.388394004,0.500639869,0.626213898
200,0.774835681,0.386916488,0.495294118,0.629820441
