L,precision,recall,f1,auc
4,0.79563471,0.816745182,0.805964691,0.804824545
8,0.854050633,0.801584582,0.836867749,0.849113305
12,0.918391244,0.797280514,0.853511339,0.863666656
16,0.927939317,0.785867238,0.851014493,0.862838582
20,0.95005283,0.801349036,0.869346122,0.879850865
24,0.953964194,0.798715203,0.869463869,0.88035021
28,0.964620239,0.802334047,0.87600805,0.886636929
32,0.963057325,0.809421842,0.879581152,0.889399411
36,0.982444647,0.802334047,0.883288218,0.89408149
40,0.985507246,0.800856531,0.883638512,0.894620451
44,0.977753048,0.804432548,0.88264765,0.893166644
48,0.977950713,0.807280514,0.884457478,0.894664544
52,0.967745321,0.80869379,0.880888231,0.890788289
56,0.978007762,0.809421842,0.885764499,0.895735208
60,0.978267396,0.799892934,0.880081814,0.891118589
64,0.977893368,0.805139186,0.883147387,0.89359388
68,0.974160207,0.807280514,0.882903981,0.893080595
72,0.977835724,0.802997859,0.881834215,0.892523217
76,0.976531943,0.801927195,0.880658436,0.891459902
80,0.973007712,0.810492505,0.884345794,0.894158607
84,0.971685972,0.808351178,0.882524839,0.892559961
88,0.974424552,0.815845824,0.888111888,0.89736325
92,0.977835724,0.802997859,0.881834215,0.892523217
96,0.979030144,0.799785867,0.880377136,0.891445204
100,0.979057592,0.800856531,0.881036514,0.891980536
