L,precision,recall,f1,auc
4,0.632052465,0.414025696,0.499060585,0.587435234
8,0.654255319,0.395074946,0.492656876,0.594580768
12,0.80224767,0.362569593,0.498603716,0.636469591
16,0.802784223,0.370449679,0.506959707,0.640346276
20,0.748924597,0.378051392,0.49802391,0.622806055
24,0.790697674,0.364025696,0.498533724,0.634494369
28,0.81695723,0.366488223,0.504623364,0.641554565
32,0.806004619,0.37366167,0.510607169,0.642480254
36,0.791839351,0.379507495,0.510235675,0.638328193
40,0.814457831,0.361884368,0.501111935,0.640287485
44,0.746568536,0.391391863,0.508646227,0.626181676
48,0.787472036,0.376873662,0.509775525,0.638278436
52,0.744913949,0.393147752,0.510627285,0.626468279
56,0.847328244,0.356531049,0.501883949,0.646586538
60,0.785515559,0.395246253,0.525566183,0.644043401
64,0.781857451,0.3875803,0.5182534,0.640463856
68,0.771008403,0.392933619,0.520567376,0.638916651
72,0.777301927,0.388650964,0.518201285,0.639415239
76,0.784017279,0.388650964,0.519685039,0.641527171
80,0.780645161,0.388650964,0.518942102,0.640471205
84,0.771367521,0.386509636,0.514978602,0.636760626
88,0.778781038,0.369379015,0.501089325,0.632947163
92,0.773109244,0.394004283,0.521985816,0.639979966
96,0.769067797,0.388650964,0.516358464,0.636775323
100,0.779443255,0.389721627,0.519628837,0.640478554
