user_id,d,D,perceptibility
5100,105,417,0.45652173913043476
4169,104,464,0.45217391304347826
4277,84,543,0.3652173913043478
1285,82,371,0.3565217391304348
5795,79,312,0.34347826086956523
2073,67,222,0.29130434782608694
1741,66,266,0.28695652173913044
1015,64,285,0.2782608695652174
1926,64,213,0.2782608695652174
1586,64,241,0.2782608695652174
4408,64,153,0.2782608695652174
3032,63,454,0.27391304347826084
2507,62,319,0.26956521739130435
2909,62,354,0.26956521739130435
2244,61,186,0.26521739130434785
5954,61,301,0.26521739130434785
2030,60,188,0.2608695652173913
3029,59,237,0.2565217391304348
53,58,338,0.25217391304347825
5511,58,278,0.25217391304347825
2124,58,348,0.25217391304347825
549,58,392,0.25217391304347825
5015,57,209,0.24782608695652175
3292,57,296,0.24782608695652175
1835,56,361,0.24347826086956523
3539,56,351,0.24347826086956523
4411,55,234,0.2391304347826087
1224,54,222,0.23478260869565218
4802,54,212,0.23478260869565218
4448,54,380,0.23478260869565218
412,54,268,0.23478260869565218
2793,54,285,0.23478260869565218
5000,54,199,0.23478260869565218
948,53,182,0.23043478260869565
1980,53,171,0.23043478260869565
4904,53,256,0.23043478260869565
1112,53,163,0.23043478260869565
3391,53,353,0.23043478260869565
957,53,143,0.23043478260869565
3201,52,170,0.22608695652173913
5504,52,270,0.22608695652173913
2340,51,219,0.2217391304347826
5111,51,212,0.2217391304347826
2203,51,217,0.2217391304347826
3592,50,170,0.21739130434782608
2293,50,149,0.21739130434782608
1333,50,244,0.21739130434782608
2581,50,180,0.21739130434782608
3476,50,210,0.21739130434782608
3650,50,176,0.21739130434782608
4354,48,248,0.20869565217391303
5329,48,174,0.20869565217391303
451,48,116,0.20869565217391303
5812,47,211,0.20434782608695654
2465,47,101,0.20434782608695654
5888,47,138,0.20434782608695654
1613,46,133,0.2
839,46,213,0.2
1680,46,379,0.2
4386,45,195,0.1956521739130435
3356,45,129,0.1956521739130435
1983,45,248,0.1956521739130435
3945,45,117,0.1956521739130435
4748,45,179,0.1956521739130435
2731,45,132,0.1956521739130435
1698,44,272,0.19130434782608696
1120,44,160,0.19130434782608696
3163,44,244,0.19130434782608696
4484,43,139,0.18695652173913044
4344,43,209,0.18695652173913044
1465,43,113,0.18695652173913044
2259,43,131,0.18695652173913044
5317,42,200,0.1826086956521739
5090,42,176,0.1826086956521739
524,42,244,0.1826086956521739
1635,42,240,0.1826086956521739
3483,42,129,0.1826086956521739
3878,42,137,0.1826086956521739
1591,42,167,0.1826086956521739
4048,42,211,0.1826086956521739
5614,41,244,0.1782608695652174
5046,41,217,0.1782608695652174
3864,41,118,0.1782608695652174
4506,41,137,0.1782608695652174
307,41,137,0.1782608695652174
3916,41,196,0.1782608695652174
424,41,133,0.1782608695652174
1322,41,142,0.1782608695652174
5948,41,163,0.1782608695652174
3681,40,215,0.17391304347826086
3940,40,125,0.17391304347826086
5841,40,159,0.17391304347826086
4732,40,148,0.17391304347826086
3688,39,135,0.16956521739130434
1389,39,130,0.16956521739130434
1451,39,175,0.16956521739130434
3724,39,98,0.16956521739130434
5256,39,91,0.16956521739130434
4033,39,184,0.16956521739130434
2691,39,148,0.16956521739130434
5443,39,173,0.16956521739130434
1941,39,166,0.16956521739130434
3108,39,84,0.16956521739130434
2303,38,88,0.16521739130434782
3751,38,85,0.16521739130434782
366,38,105,0.16521739130434782
1676,38,164,0.16521739130434782
6003,38,104,0.16521739130434782
5762,38,111,0.16521739130434782
5964,38,188,0.16521739130434782
3792,37,197,0.1608695652173913
5582,37,100,0.1608695652173913
3285,37,134,0.1608695652173913
2181,37,176,0.1608695652173913
3507,37,165,0.1608695652173913
346,37,128,0.1608695652173913
1697,37,137,0.1608695652173913
5763,37,188,0.1608695652173913
4373,37,119,0.1608695652173913
2018,36,124,0.1565217391304348
3590,36,186,0.1565217391304348
550,36,207,0.1565217391304348
4786,36,82,0.1565217391304348
2929,36,105,0.1565217391304348
4021,36,221,0.1565217391304348
4064,36,120,0.1565217391304348
4888,36,171,0.1565217391304348
4207,36,118,0.1565217391304348
6002,36,100,0.1565217391304348
3367,35,135,0.15217391304347827
3503,35,141,0.15217391304347827
3957,35,114,0.15217391304347827
1671,35,167,0.15217391304347827
3469,35,135,0.15217391304347827
161,35,162,0.15217391304347827
3836,35,112,0.15217391304347827
3841,35,188,0.15217391304347827
5085,35,124,0.15217391304347827
149,35,153,0.15217391304347827
2092,35,146,0.15217391304347827
1068,35,168,0.15217391304347827
2185,34,120,0.14782608695652175
5074,34,169,0.14782608695652175
4140,34,116,0.14782608695652175
731,34,196,0.14782608695652175
3769,34,181,0.14782608695652175
3842,34,205,0.14782608695652175
3224,34,165,0.14782608695652175
2583,34,166,0.14782608695652175
2064,34,106,0.14782608695652175
1802,33,86,0.14347826086956522
869,33,124,0.14347826086956522
3963,33,78,0.14347826086956522
5091,33,81,0.14347826086956522
1884,33,102,0.14347826086956522
5550,33,124,0.14347826086956522
2624,33,104,0.14347826086956522
4227,33,142,0.14347826086956522
4204,33,113,0.14347826086956522
10,33,150,0.14347826086956522
453,32,80,0.1391304347826087
175,32,123,0.1391304347826087
1899,32,108,0.1391304347826087
3080,32,201,0.1391304347826087
2088,32,149,0.1391304347826087
2529,32,146,0.1391304347826087
4482,32,143,0.1391304347826087
1040,32,94,0.1391304347826087
5428,32,111,0.1391304347826087
4497,32,143,0.1391304347826087
4086,32,218,0.1391304347826087
5273,32,119,0.1391304347826087
5759,32,120,0.1391304347826087
5359,32,121,0.1391304347826087
3834,32,233,0.1391304347826087
922,32,88,0.1391304347826087
2279,32,106,0.1391304347826087
1447,32,135,0.1391304347826087
2592,31,103,0.13478260869565217
272,31,139,0.13478260869565217
4083,31,111,0.13478260869565217
5675,31,120,0.13478260869565217
18,31,105,0.13478260869565217
5643,31,93,0.13478260869565217
4884,31,116,0.13478260869565217
1268,31,117,0.13478260869565217
3081,31,135,0.13478260869565217
2928,31,136,0.13478260869565217
148,31,136,0.13478260869565217
3300,31,131,0.13478260869565217
3304,31,74,0.13478260869565217
4322,31,88,0.13478260869565217
4363,31,106,0.13478260869565217
3823,31,159,0.13478260869565217
2231,31,109,0.13478260869565217
301,31,129,0.13478260869565217
5255,31,103,0.13478260869565217
5858,30,78,0.13043478260869565
1343,30,172,0.13043478260869565
3780,30,150,0.13043478260869565
1448,30,252,0.13043478260869565
3588,30,92,0.13043478260869565
4852,30,77,0.13043478260869565
1134,30,93,0.13043478260869565
4579,30,83,0.13043478260869565
58,30,147,0.13043478260869565
3729,30,135,0.13043478260869565
2990,30,106,0.13043478260869565
4381,30,88,0.13043478260869565
2544,30,86,0.13043478260869565
3558,30,170,0.13043478260869565
2368,30,97,0.13043478260869565
300,30,109,0.13043478260869565
3394,30,86,0.13043478260869565
4107,30,150,0.13043478260869565
261,30,71,0.13043478260869565
1301,30,68,0.13043478260869565
5890,30,95,0.13043478260869565
1699,30,148,0.13043478260869565
5576,30,108,0.13043478260869565
5289,30,114,0.13043478260869565
5517,30,116,0.13043478260869565
1130,30,90,0.13043478260869565
2753,30,80,0.13043478260869565
2232,29,107,0.12608695652173912
3425,29,136,0.12608695652173912
1298,29,79,0.12608695652173912
4673,29,155,0.12608695652173912
5312,29,157,0.12608695652173912
953,29,113,0.12608695652173912
5831,29,95,0.12608695652173912
2237,29,108,0.12608695652173912
4406,29,106,0.12608695652173912
3380,29,115,0.12608695652173912
4647,29,186,0.12608695652173912
637,29,107,0.12608695652173912
4543,29,109,0.12608695652173912
543,29,248,0.12608695652173912
3227,29,105,0.12608695652173912
588,29,128,0.12608695652173912
911,29,92,0.12608695652173912
5996,29,127,0.12608695652173912
482,29,107,0.12608695652173912
3036,29,69,0.12608695652173912
1712,29,89,0.12608695652173912
4089,29,105,0.12608695652173912
1131,29,81,0.12608695652173912
3259,29,107,0.12608695652173912
3930,29,71,0.12608695652173912
4784,29,139,0.12608695652173912
2683,29,131,0.12608695652173912
2860,28,134,0.12173913043478261
2895,28,140,0.12173913043478261
3976,28,85,0.12173913043478261
5744,28,103,0.12173913043478261
5747,28,69,0.12173913043478261
3675,28,97,0.12173913043478261
2497,28,72,0.12173913043478261
4521,28,74,0.12173913043478261
1137,28,117,0.12173913043478261
2038,28,83,0.12173913043478261
928,28,109,0.12173913043478261
4016,28,74,0.12173913043478261
2211,28,80,0.12173913043478261
3054,28,79,0.12173913043478261
3414,28,117,0.12173913043478261
1812,28,201,0.12173913043478261
1552,28,82,0.12173913043478261
1170,28,84,0.12173913043478261
651,28,85,0.12173913043478261
714,27,167,0.11739130434782609
3989,27,78,0.11739130434782609
5387,27,121,0.11739130434782609
3365,27,159,0.11739130434782609
1202,27,81,0.11739130434782609
4779,27,68,0.11739130434782609
5557,27,84,0.11739130434782609
3562,27,86,0.11739130434782609
4771,27,86,0.11739130434782609
2304,27,112,0.11739130434782609
3858,27,80,0.11739130434782609
2016,27,83,0.11739130434782609
1077,27,105,0.11739130434782609
2056,27,125,0.11739130434782609
3271,27,77,0.11739130434782609
4238,27,146,0.11739130434782609
5667,27,74,0.11739130434782609
5522,27,167,0.11739130434782609
4298,27,134,0.11739130434782609
558,27,64,0.11739130434782609
702,27,65,0.11739130434782609
5733,27,95,0.11739130434782609
3217,27,98,0.11739130434782609
3641,27,120,0.11739130434782609
518,27,88,0.11739130434782609
5972,27,80,0.11739130434782609
4507,27,124,0.11739130434782609
2942,27,75,0.11739130434782609
949,27,123,0.11739130434782609
4659,27,92,0.11739130434782609
1211,27,150,0.11739130434782609
2526,27,101,0.11739130434782609
4889,27,123,0.11739130434782609
235,27,146,0.11739130434782609
3001,27,99,0.11739130434782609
1062,27,102,0.11739130434782609
4705,27,73,0.11739130434782609
764,27,104,0.11739130434782609
4054,27,110,0.11739130434782609
2764,26,119,0.11304347826086956
2611,26,97,0.11304347826086956
5847,26,125,0.11304347826086956
4050,26,85,0.11304347826086956
3770,26,88,0.11304347826086956
5862,26,138,0.11304347826086956
3067,26,176,0.11304347826086956
5986,26,66,0.11304347826086956
3474,26,111,0.11304347826086956
4801,26,165,0.11304347826086956
4819,26,163,0.11304347826086956
5995,26,66,0.11304347826086956
4946,26,77,0.11304347826086956
1988,26,70,0.11304347826086956
1746,26,218,0.11304347826086956
791,26,91,0.11304347826086956
