movie_id,awardee
B000PHTCGG,0
B000I9VU1G,0
1597400602,0
B0006P6WSS,0
B000MCKQRS,0
0375422811,0
B0006AUI9W,0
B0007H4QBK,0
B0008AGXVW,0
0691115109,0
B000NRYUHO,0
B000N6DDJQ,0
0766010317,0
B00070YCSO,0
B0007EN04M,0
B00086432M,0
B000NKGYNE,0
9996294544,0
1554040604,0
B000K0L2F2,0
B0007DKNSO,0
0738702595,0
0312212240,0
0735104328,0
1574900072,0
091897304X,0
B000NSKB12,0
0316822566,0
0756606926,0
B000NPR4SI,0
0141011890,0
0814473423,0
B0007F8Q9K,0
B0008637GU,0
0897501217,0
0505524228,0
B0006ANRXG,0
B000PXNN4C,0
0679751254,1
B000QB7MQI,0
0192854496,0
0811719162,0
B0006W4076,0
B000PVKWH0,0
B000J5KSK8,0
B000N755IW,0
0739317040,0
0345434927,0
B000MU8334,0
B000I83ZJC,0
B0007B44O0,0
B0007J0QN0,0
0967987407,0
0312195419,0
B000OVGBCQ,0
B000EMZWV6,0
B0006DG9OM,0
B000NP6EXO,0
0932813097,0
B0000CKD7E,0
B0006CAP70,0
B000858H4S,0
B000GKR7V4,0
B0007FHJJS,0
0721415784,0
0505524244,0
B000O2VT6I,0
B000PBZH5M,0
B000ES55OY,0
B000MWCWKW,0
B0006AONEI,0
B000OUK0ZG,0
B0008AHTDS,0
B000NQIG2A,0
0671733885,0
157856137X,0
B0008ASNGA,0
1841192279,0
B0007IUTXS,0
B0006ATMQM,0
B000HGXQRG,0
B000GS46F6,0
1573452092,0
1588550311,0
185487344X,0
B000KWDVVI,0
0374504768,0
B0006PCI04,0
1595580212,0
0736645586,0
B000RAQAUC,0
B000PBZH6Q,0
0263123308,0
B000EPBIR0,0
B000PIPU4S,0
B000KEPC7M,0
B0000CKD8T,0
B000BAQZLC,0
188301106X,0
0743471466,0
0207150761,0
B000HJ6E5Y,0
B000MY03IS,0
0747243557,0
B000IP0R00,0
B00087U6IQ,0
B000N1ZWS6,0
1883011078,0
B000PDFO2Q,0
0805077464,0
158855032X,0
1861975805,0
0670010162,0
0671717804,0
0936783451,0
0451210530,0
0515093335,0
B00087DAOS,0
0742531872,0
B000LB62MS,0
1557429227,0
B000O1UCCQ,0
B000GQHV5K,0
0739400614,0
0890097585,0
B0008AYIAK,0
0786191511,0
B000KDD8AG,0
015173948X,0
1883011086,0
0805077472,0
0879233427,0
B000GG4J00,0
0525468803,0
1556610777,0
0931255058,0
9562910334,0
B0007FHJMK,0
B00005XZEK,0
B000JX6XD6,0
1419123548,0
B000TZ19TC,0
0742531880,0
B00088DVZU,0
0192816926,0
B000NZQHCW,0
1883011094,0
B000HJR45I,0
B000KXL7G8,0
0505524287,0
B000FQ7OX0,0
B0006E1ZWC,0
B000OVGBGC,0
B0006E8Q9C,0
B000HU0H88,0
B000I3JBUO,0
061334006X,0
1588550346,0
0151000891,0
0843946334,0
0020480202,0
B000Q12ZHE,0
B000PWY33S,0
B000MC13J8,0
B000NQIG7A,0
B000J0WATA,0
B000NU0RQ4,0
B0007FBOXA,0
0849902002,0
B00087K84S,0
B000OXCBRI,0
015201294X,0
1581180012,0
1557131287,0
B00004WISA,0
B000N63OYK,0
0553107488,0
0802847390,0
B00072KEN4,0
B000879GPA,0
0373255802,0
0738708089,0
B000MW9Y9Y,0
B000PHIIM0,0
0613340086,0
B0006C5ZOS,0
B000H78YWC,0
0312306288,0
0736662138,0
B000MV8HE8,0
B00087U6N6,0
B0006DWYN2,0
1560974648,0
0684813483,0
0517222876,0
B0000CJHS6,0
B000F26IAY,0
B000F5NMRI,0
B000F3FWZK,0
B0007E2AAM,0
1567230288,0
B00005XZIL,0
0312924410,0
B000OVGBJY,0
0152012966,0
B000MCASDU,0
B000MV8HEI,0
0890092605,0
B0007IKVGI,0
B000L1WSBC,0
B0006A011W,0
B0006A011C,0
0875952968,0
0520028996,0
B0007B44XG,0
B000NSJFPU,1
B0006DG9WE,0
B000GQMUG0,0
0553234056,0
B000JJ9ISM,0
B0006DG9WO,0
1568959443,1
B0007J0QWQ,0
0333168925,0
B0007K76ZU,0
1568959451,0
B0007EH5IY,0
0140860096,0
0813335329,0
0440905605,0
B000GSDVFC,1
1859679161,0
B0006DC67Q,0
B0007F8QDQ,0
0786191570,0
1892065142,0
030435256X,0
B0006AVE0Y,0
B000E6JMXQ,0
B0006A0126,0
B0008CPJEW,0
B000OWMRNW,0
B000HVLLEQ,0
B000NPSW3E,0
B00086TLE2,0
B0006P8O66,0
1841811238,0
B0007EI15A,0
1890626589,0
B000J46F10,0
B0007BUILI,0
0571138403,0
B0006W8ZLS,0
1590521951,0
087123260X,0
B000JJU8RC,0
B000H58V0E,0
B00088WC14,0
B000QBHBVY,0
B0006AUIF6,0
B0008BZ3US,0
5553856906,0
0553234080,0
B0007DQIW4,0
0613086686,0
0071358064,0
0783818831,0
B0007K27Q8,0
B000PDESPU,0
1404318364,0
1878424483,0
0943069165,0
0821261827,0
0891347062,0
0786197005,0
B0006W8ZMM,0
B000K5Q9JQ,0
0486401782,0
B0008D1B5M,0
031022778X,0
B0006AVE2M,0
0812908821,0
B0000CJHX7,0
B0007K8Y2E,0
B000879GVE,0
0805072543,0
0333168968,0
0764229893,0
B000GLTDBU,0
0192833502,0
B000PC4IM4,0
0840745745,0
B000875D5W,0
1404318372,0
0812213246,0
0226436179,0
0613633105,0
B0006DH5GS,0
B000J2Z8HE,0
0808549685,0
0517884070,0
B000NYL476,0
B000OVX7JG,0
B0008643A4,0
B0007EM4YY,0
B000MU83AW,0
1590521986,0
0801063868,0
093829458X,0
0812500806,0
B000NP1FY2,0
0525082379,0
B000PGC9SU,0
1933405163,0
B000O2VTC2,0
0896219763,0
0395935423,0
0226436187,0
0380815699,0
B0007EN0EM,0
0374521387,0
081478805X,0
B000NWO8CG,0
B0007FDG7M,0
B0006RDHSO,0
0955005108,0
B000MV8HLG,0
B00005N5OH,0
B000LEJ3IU,0
B000GZWN1S,0
B000MV8HLQ,0
B000NU0RZA,0
B00005N5OG,0
B0009KKVZU,0
0195085140,0
B000K9UV8C,0
B00087U6VS,0
B0007J2I40,0
B0008AOK5I,0
B0006DWYVO,0
0825800471,0
B000MCGNCK,0
B000KCSGPE,0
B000FS5GCE,0
B000HX3T9O,0
B0006AUIKG,0
B000JOOEK4,0
B000MU83C0,0
B0006WIOKU,0
0451525132,0
B000H7EK9I,0
B000I2UNB6,0
0879101970,0
B000HKRIJO,0
0061149055,0
0717802183,0
0783818874,0
B0006AONUC,0
B000H8PZG4,0
B00073834A,0
B0008B4FE8,0
B000U2M5HO,0
B000LF4TO2,0
B000HGOO4A,0
B000JTNQLW,0
B000GP1QHK,0
B000KEPCF4,0
B000KJPK10,0
0786269502,0
0806520590,0
B000MV8HNY,0
B000MXQ3AQ,0
0753113880,0
1928746071,0
B0007GZPJI,0
B000KEPCGI,0
0754053482,0
B000GSKM0E,0
0521294231,0
0465081401,0
B000Q6XOTW,0
0743417917,0
B000OVGBTE,0
B00085T7BU,0
1419129090,0
0582282101,0
0380810719,0
B0007ERZRK,0
B00085Z296,0
0380727188,0
B0006CQIWG,0
B000N7AR26,0
1564145190,0
B0007DLJQO,0
0871232677,0
0373802331,0
B00086UH8Q,0
B000MV8HPM,0
0747536678,0
0786197072,0
B000F3BTDO,0
B000P961SQ,0
1557424365,0
B000NZQHR2,0
0385301898,0
B000MV8HP2,0
0440508088,0
B000EVE30S,0
B000PV74BW,0
1588076911,0
0876545991,0
B0007E2AL6,0
0873388364,0
B00005XZU2,0
B0008AYIQO,0
B000MUGWTG,0
B00087Q39M,0
B00088AO46,0
B000I3Q9FO,0
B00089L7X2,0
0890512582,0
9991677429,0
0446513962,0
0795152450,0
B000MZWXNA,0
B0007EH5S4,0
B000IUVGAK,0
B000PCL50W,0
019283357X,0
B0006BVZDO,0
0007140029,0
0316608068,0
B000MV8HQ6,1
0465081428,0
B000GLJF2W,0
B000KRX79O,0
0385500912,0
0613175719,0
B000N7KPM8,0
B0006ECKLC,0
B000O03DWI,0
1414307381,0
0870116002,0
1570671133,0
1573922730,0
0465081436,0
B000MU83H0,0
B000GL8UMI,0
1933471921,0
B000NPXVIK,0
B0007EC6H4,0
B000IXS1X2,0
B000Q9G84W,0
B0007J7HE6,0
B000N7KPMI,0
B000MV8HRU,0
B0006DH5O0,0
B000L6Q9ZS,0
B000MV8HS4,0
B000GACQZG,0
B0006AKK9K,0
B0006AONZC,0
1563332183,0
B000MUGWVY,0
B000P9XB34,0
B000MV8HSY,0
B000KP4REA,0
B000KYND8W,0
B0001GDR0I,0
0451525191,0
B000G9RUGW,0
B0007K33F2,0
B000BH3DE2,0
1404313443,0
0373802366,0
B0006DH5OU,0
B000MWDSK0,0
B000N7KPNM,0
B000JWW1UG,0
B0006APJFA,0
1556909330,1
B0007EN0MO,0
0373272456,0
0025485016,0
B00005XZX4,0
B000859D5K,0
B0006E2VT8,0
B000GSKM5E,0
B000874HTU,0
B0001GDR1M,0
B0007DMFAS,0
0441316158,0
0192817507,0
1404313451,0
B00085Y6SO,0
0786269561,0
0783813929,0
B0008BF70E,0
1581346581,0
B000PRN1V8,0
B0006BQ4RQ,0
0404607403,0
B000MWDSLY,0
1587158868,0
B000NDGNP0,0
B000GQSPLY,0
B0007JT302,0
B0001GDR26,0
0192839020,0
B0007ED26I,0
B0007ENW72,0
0942637747,0
B0007I67S4,0
B000KP4RGS,0
B000J0HDBK,0
0747222649,0
B000MU83KW,0
B000GQXOYW,0
B000MW004W,1
B000MU83K2,0
B000P4Y656,0
B000MV8HUW,0
B0007IKVWW,0
1574531794,0
B0006DD20Q,0
B000MV8HUM,0
B0008692WI,0
B000HVSC48,0
B000IUPLOM,0
156261312X,0
0671624458,0
B000874HVS,0
8423947777,0
B000P961YU,0
B0006BWV4Q,0
B0007EH5XE,0
B000I9A6HU,0
0140182659,0
B0006BM13C,0
0373691599,0
B000MREGNI,0
B000KT2MSY,0
B0007IWLFC,0
B000J189U8,0
B000NP2BO0,0
0373802390,0
B0001GDR3U,0
0451509137,0
B0006E2VWU,0
B0006DYQ6U,0
B000LBXCAI,0
B000HW2CNY,0
0896214869,0
B000MWDSOG,0
0786280670,0
1887368566,0
0708914349,0
B00086OMHI,0
0060739126,0
080240734X,0
0133042707,0
0871238160,0
B0007J8D5S,0
0613997905,0
0380816210,0
006029776X,0
B0007ESVFK,0
B000H48A60,0
1584851325,0
B000CZ38SY,0
B0001GDR5I,0
B000N7GM2U,0
B0006AUIVA,0
0883686422,0
0451509145,0
B000MU83NO,0
B000I415PC,0
0870116061,0
0393051358,0
