movie_id,quality
B000H01HX2,4.286918996585499
1573229741,4.899713467048711
B000KL200C,3.971631205673759
B0006Y5744,4.016759500304625
B00087EPJC,4.979591836734693
B0007J65ZI,4.678362573099415
0142004146,4.232119330647499
1590580427,4.987531172069826
0915554283,4.958029197080292
B000GM0R6E,4.973684210526316
1563898950,3.840909090909091
0714529974,4.972067039106145
0300073860,1.4153846153846155
B000PUGHSE,4.170976098830681
1402559429,4.318014935176561
B000716KV0,4.526315789473685
B0007FOPHC,4.573516574655061
1931082650,4.798206278026906
0373709188,2.8627450980392157
B000PVVON6,3.969572488070835
B000J01YTC,2.9220779220779223
0886825318,4.989878542510121
1847022251,4.743422431341414
B00086SCHO,2.9435897435897433
0878911804,3.9919028340080973
1888767480,1.7777777777777777
0786114800,4.098984771573604
0754076164,4.141637071099568
B000JR9UPU,4.612945214729897
B0006RWJD8,4.861111111111111
B000JR9UBE,2.769230769230769
0738703877,4.923076923076923
B000PRZK58,4.356060606060606
B000JOV6PA,3.8459796149490373
061312944X,4.9375
084782215X,1.5909090909090906
B0006BZDNM,4.418483011128623
0871132400,4.803921568627451
B000866IGG,3.5047619047619047
0767909054,3.7402597402597397
0877959269,4.915730337078651
B000863PDK,4.95575221238938
9997298365,3.7090779309998574
B000KVDVUA,4.885057471264368
073660510X,4.028168710603516
B000FDANKO,3.8857142857142857
070223236X,3.773116694712135
B000Q9RBO8,4.185463561320594
B0007ECU1Q,4.556457710526003
0913543543,4.950980392156862
B000H7WD9C,4.5705263523366435
0874771161,4.903846153846153
019283942X,3.9615384615384612
B000GYI7QY,3.8378378378378377
B0006WQGPK,2.391304347826087
1555469981,4.905982905982905
B00088FHZM,4.83695652173913
B0007EUVF8,4.233409610983982
B0006AXOCU,3.8232044198895028
0740758195,3.073170731707317
0689815417,4.878048780487805
B000L7PQCO,4.385800333289841
0972035214,4.950980392156863
B000OWVPDK,3.4745762711864407
0764223321,3.554006968641115
0745166733,2.13986013986014
B000FMIR94,4.381574048908167
B00087UJII,4.903846153846153
B0006DDW9M,4.949494949494951
B0006AYLAO,4.720279720279719
B0006RJ6UM,4.78021978021978
B0007IYNU8,4.931506849315069
B00087EABA,4.310867061615003
B0002TX592,0.9196787148594378
B00086J5T8,3.498156346879885
0810836092,4.9275362318840585
0783892926,3.932584269662921
B0007FWTKC,2.8125
B000LEVKSG,3.9579500657030224
B000NWOT8E,4.4571327562008936
B000N6QXZ2,1.68503937007874
0679819460,2.7593582887700534
B000KNLLVO,4.62705844481934
B0007DPRHQ,0.9614949037372593
0451133234,4.836065573770492
1555531245,3.7551020408163267
1597370037,4.371858640317716
0450531368,1.4267782426778242
0309063604,4.765625
B000HY814G,3.279099877669691
B000NW7BOI,3.1666666666666665
B000864UPW,4.342105263157895
0312155948,4.010045260201113
B0009A2OKK,3.405940594059406
1563892464,3.870967741935484
B000JDAMC4,4.316269401031927
B0007H3L02,4.973544973544973
0446531952,4.863013698630137
0829706216,4.87012987012987
B000OX7RCC,2.9823791808215114
B00005VQ5R,4.698795180722891
1891743007,4.836065573770492
B00085PFMK,2.814432989690721
B0006S8E7C,4.291666666666666
B00085C3WU,3.80327868852459
031021372X,3.9829787234042553
B000H4GR60,3.9166666666666665
0738708089,3.953488372093023
0451130898,3.7253699266817915
B000JJZEU8,4.93659420289855
1587155818,4.857142857142857
B00072DYXQ,4.958029197080293
B000B9P4BU,4.531750456159117
155738486X,4.380952380952381
0446340618,4.7317073170731705
1569243581,4.97005988023952
0312931891,3.8857142857142857
B000L4G4EQ,3.6792452830188678
B000JMKSZ6,3.375
078627798X,4.20808952278201
0679445153,4.958029197080292
B000GXOFNE,3.935483870967742
B0007DM2LA,3.745019920318725
B00089Q35O,4.846153846153846
B000F4X9PY,2.8909090909090907
0613656768,3.9665271966527196
0670632759,4.848484848484849
0679460985,4.945652173913043
B000J4JWUQ,4.8623895254081235
B000N7A5QO,3.7915769384236833
B000PGDQMI,4.309722891901383
B0006AY19U,3.911764705882353
0972325921,3.9579500657030224
1859989977,4.391785339071795
B0007E5UO0,4.538210025368981
B000894FFE,4.721407624633431
1421988860,4.681613366600413
B000L1J40K,4.925373134328358
0525483845,4.7368421052631575
1580231128,4.9772727272727275
0618477861,3.911111111111111
B00069X4IA,4.690134329034571
1587156946,3.464663460876951
B000IG26Y4,4.952153110047846
B000OVOI58,3.8333333333333335
0449908011,4.537366548042703
078520945X,4.903846153846153
B0007K7LUU,3.987987987987988
B000AS5QYC,4.652078147651921
B000P44H50,4.907407407407407
B000K74YAK,1.8153846153846152
B000GZEK1E,1.9832116788321168
0802724973,4.958029197080291
B000ILMUYU,4.9774774774774775
B000GQPA7G,4.363682645352019
B000GSPRHC,2.9748175182481753
1846372453,3.636531678878392
1904034535,2.9454545454545453
157062352X,3.9774647887323944
B000DCOEIE,3.0704225352112675
B0007EQXV4,4.736583554104715
B000MQRWLM,3.951219512195122
B000J50QHS,4.925373134328358
0965067602,2.25
0818906944,3.9292035398230087
B000P269TY,2.9600507292327203
006013366X,3.6923076923076925
B000OVLIRE,3.915057196156753
0440180783,3.9101123595505616
B000Q34XL8,3.9611650485436893
B000N7EDTO,4.307359307359308
0385333692,2.388593245114415
B000KU6FDG,4.430142257462687
0848803477,4.54451874572454
0882643355,3.9448275862068964
048625108X,3.971223021582734
B00088137I,3.7059548254620123
0786174552,2.750191385395878
0785748601,4.286123631904278
0553264168,3.8010752688172045
B000PWIXWK,0.9338624338624338
B000OTTLF2,4.9324324324324325
0195052161,4.351851851851852
B0007DUMAI,4.110418914410257
B0007E8QBE,3.8927613941018766
B0006AN6DW,3.932584269662921
B000GOGMFW,3.877862595419847
082942122X,2.4081440780570054
0486206203,4.92063492063492
0515125091,3.7333333333333334
B0007FY34C,4.958029197080292
0877453659,4.6610169491525415
B000JCBVIO,3.2228070437025655
B000K3TBZC,3.95
B0006C91L6,2.0
0613309863,4.624413145539906
B000NL8UKI,4.737903225806452
B000PCBDTK,4.925373134328359
B0006CK0BQ,2.5500000000000003
B00072MX7O,4.017128942985182
B0007DUQ54,1.4933333333333334
B0000CO5BP,4.826254826254826
B000K3Y5S0,3.789473684210526
B000KS9RD8,4.824561403508772
0878423648,4.818181818181818
0761131760,2.9558823529411766
0743492056,4.367458187047399
1555176976,2.25
0394904575,0.9861111111111112
0399101284,4.931506849315069
B000DEN2EY,3.9655172413793105
B0002PVAI4,4.549040909740775
1569244561,3.6875
1565121155,3.5616438356164384
0816158940,4.736583554104715
B00005WB8F,2.8314606741573036
B0002P0F5I,3.5428571428571427
0826479170,3.921875
097401320X,2.9711538461538463
0140441182,4.95
0856354341,4.965277777777778
B0000CKVUM,4.90625
0375431713,3.5805258033106133
B000JQT03S,4.5062811417507485
0425140318,4.111767247587498
097646554X,4.051724137931034
B0007HNP4O,4.811218985976268
0853615500,4.919354838709678
B000GCFXCC,4.8125
B0006DLXJI,3.941662957191016
B000FUTQCI,4.24930367366248
0449216020,3.2998329491482434
B0006ENZW0,3.95
0890877564,3.8857142857142857
B000FVWPNO,4.54797058108819
0471652644,4.939024390243903
B000Q7Q2WC,4.456481375554157
B000GS9QSS,4.603420476763484
B0007DUYWO,3.268292682926829
B0006BSZNW,4.916201117318436
0135437512,1.8507462686567164
B000MY9XAC,4.925373134328358
B0007EAN6A,4.616717223841682
0425179664,4.189209070133211
1568955502,3.642857142857143
0792736338,3.4414409501711987
B000FZ1TLE,4.947437582128779
B000GW494K,4.898989898989899
B0006AU7MU,4.811218985976268
B000GKBLZ2,4.9375
0060555335,3.835616438356164
0671739751,4.376678876678876
