movie_id,awardee,firstTime,lastTime
B000PHTCGG,0,1344384000,1344384000
B000I9VU1G,0,1346025600,1346025600
1597400602,0,1348272000,1348272000
B0006P6WSS,0,1329782400,1329782400
B000MCKQRS,0,1306281600,1306281600
0375422811,0,1335052800,1335052800
B0006AUI9W,0,1338940800,1338940800
B0007H4QBK,0,1319241600,1357948800
B0008AGXVW,0,1327363200,1327363200
0691115109,0,1330560000,1330560000
B000NRYUHO,0,1344902400,1344902400
B000N6DDJQ,0,1299369600,1361491200
0766010317,0,1325635200,1325635200
B00070YCSO,0,1302393600,1302393600
B0007EN04M,0,1353974400,1353974400
B00086432M,0,1359331200,1359331200
B000NKGYNE,0,1360454400,1360454400
9996294544,0,1313712000,1313712000
1554040604,0,1310169600,1310169600
B000K0L2F2,0,1342915200,1361059200
B0007DKNSO,0,1330560000,1332720000
0738702595,0,1321833600,1321833600
0312212240,0,1336780800,1336780800
0735104328,0,1336694400,1336694400
1574900072,0,1353801600,1356307200
091897304X,0,1340582400,1340582400
B000NSKB12,0,1299715200,1309305600
0316822566,0,1335916800,1335916800
0756606926,0,1302393600,1302393600
B000NPR4SI,0,1347840000,1347840000
0141011890,0,1344211200,1344211200
0814473423,0,1330041600,1330041600
B0007F8Q9K,0,1338940800,1338940800
B0008637GU,0,1345852800,1345852800
0897501217,0,1352764800,1352764800
0505524228,0,1329868800,1358208000
B0006ANRXG,0,1299974400,1299974400
B000PXNN4C,0,1322438400,1322438400
0679751254,1,1307232000,1327795200
B000QB7MQI,0,1338422400,1338422400
0192854496,0,1361750400,1361750400
0811719162,0,1306108800,1306108800
B0006W4076,0,1302048000,1302048000
B000PVKWH0,0,1302998400,1302998400
B000J5KSK8,0,1332028800,1343347200
B000N755IW,0,1334620800,1334620800
0739317040,0,1303776000,1358380800
0345434927,0,1325289600,1325289600
B000MU8334,0,1313625600,1331683200
B000I83ZJC,0,1314230400,1338163200
B0007B44O0,0,1341964800,1341964800
B0007J0QN0,0,1319673600,1319673600
0967987407,0,1344124800,1344124800
0312195419,0,1321488000,1321488000
B000OVGBCQ,0,1329609600,1329609600
B000EMZWV6,0,1335398400,1335398400
B0006DG9OM,0,1299369600,1361923200
B000NP6EXO,0,1331683200,1331683200
0932813097,0,1337558400,1337558400
B0000CKD7E,0,1308528000,1359244800
B0006CAP70,0,1306540800,1306540800
B000858H4S,0,1302912000,1337385600
B000GKR7V4,0,1319673600,1325980800
B0007FHJJS,0,1321228800,1321228800
0721415784,0,1300060800,1315008000
0505524244,0,1335312000,1335312000
B000O2VT6I,0,1360281600,1360281600
B000PBZH5M,0,1300492800,1360195200
B000ES55OY,0,1332201600,1332201600
B000MWCWKW,0,1330473600,1330905600
B0006AONEI,0,1306627200,1306627200
B000OUK0ZG,0,1345334400,1345334400
B0008AHTDS,0,1348444800,1348444800
B000NQIG2A,0,1334102400,1334102400
0671733885,0,1346025600,1360713600
157856137X,0,1330041600,1330041600
B0008ASNGA,0,1354752000,1354752000
1841192279,0,1321142400,1321142400
B0007IUTXS,0,1340755200,1340755200
B0006ATMQM,0,1317340800,1317340800
B000HGXQRG,0,1305590400,1305590400
B000GS46F6,0,1324512000,1353369600
1573452092,0,1304208000,1304208000
1588550311,0,1301616000,1359072000
185487344X,0,1339286400,1339286400
B000KWDVVI,0,1301184000,1316908800
0374504768,0,1350086400,1350086400
B0006PCI04,0,1346976000,1346976000
1595580212,0,1320192000,1320192000
0736645586,0,1318291200,1362009600
B000RAQAUC,0,1326931200,1326931200
B000PBZH6Q,0,1300492800,1360195200
0263123308,0,1310083200,1310083200
B000EPBIR0,0,1309046400,1360713600
B000PIPU4S,0,1329177600,1329177600
B000KEPC7M,0,1338595200,1360454400
B0000CKD8T,0,1341705600,1341705600
B000BAQZLC,0,1333929600,1355961600
188301106X,0,1361059200,1361059200
0743471466,0,1328572800,1328572800
0207150761,0,1308268800,1308268800
B000HJ6E5Y,0,1339286400,1339286400
B000MY03IS,0,1335830400,1335830400
0747243557,0,1315785600,1341014400
B000IP0R00,0,1344729600,1344729600
B00087U6IQ,0,1327363200,1327363200
B000N1ZWS6,0,1354752000,1354752000
1883011078,0,1315958400,1315958400
B000PDFO2Q,0,1323475200,1359590400
0805077464,0,1352419200,1352419200
158855032X,0,1300147200,1351987200
1861975805,0,1301270400,1301270400
0670010162,0,1348963200,1348963200
0671717804,0,1322697600,1358467200
0936783451,0,1351123200,1351123200
0451210530,0,1355788800,1355788800
0515093335,0,1337385600,1337385600
B00087DAOS,0,1329868800,1329868800
0742531872,0,1314921600,1314921600
B000LB62MS,0,1351814400,1351814400
1557429227,0,1323129600,1359590400
B000O1UCCQ,0,1312070400,1359158400
B000GQHV5K,0,1334880000,1334880000
0739400614,0,1307318400,1307318400
0890097585,0,1300752000,1300752000
B0008AYIAK,0,1359676800,1359676800
0786191511,0,1301184000,1361750400
B000KDD8AG,0,1311033600,1311033600
015173948X,0,1355270400,1355270400
1883011086,0,1315353600,1346889600
0805077472,0,1361145600,1361145600
0879233427,0,1315094400,1321920000
B000GG4J00,0,1325289600,1354492800
0525468803,0,1350172800,1350172800
1556610777,0,1308182400,1308182400
0931255058,0,1310688000,1310688000
9562910334,0,1299628800,1361318400
B0007FHJMK,0,1361664000,1361664000
B00005XZEK,0,1358035200,1358035200
B000JX6XD6,0,1320710400,1360108800
1419123548,0,1303862400,1350432000
B000TZ19TC,0,1299542400,1362009600
0742531880,0,1314921600,1314921600
B00088DVZU,0,1317340800,1317340800
0192816926,0,1306540800,1306540800
B000NZQHCW,0,1346803200,1346803200
1883011094,0,1315526400,1335571200
B000HJR45I,0,1299369600,1361232000
B000KXL7G8,0,1308009600,1339027200
0505524287,0,1325203200,1325203200
B000FQ7OX0,0,1300924800,1300924800
B0006E1ZWC,0,1328745600,1328745600
B000OVGBGC,0,1339804800,1339804800
B0006E8Q9C,0,1341705600,1344902400
B000HU0H88,0,1335744000,1335744000
B000I3JBUO,0,1306108800,1361232000
061334006X,0,1342051200,1362268800
1588550346,0,1299801600,1361059200
0151000891,0,1302048000,1302048000
0843946334,0,1349308800,1349308800
0020480202,0,1314576000,1314576000
B000Q12ZHE,0,1320192000,1320192000
B000PWY33S,0,1330905600,1330905600
B000MC13J8,0,1331510400,1331510400
B000NQIG7A,0,1355788800,1355788800
B000J0WATA,0,1336867200,1359590400
B000NU0RQ4,0,1334620800,1336953600
B0007FBOXA,0,1313798400,1313798400
0849902002,0,1341532800,1341532800
B00087K84S,0,1337990400,1337990400
B000OXCBRI,0,1317427200,1343001600
015201294X,0,1299801600,1299801600
1581180012,0,1300147200,1360368000
1557131287,0,1312070400,1312070400
B00004WISA,0,1356480000,1356480000
B000N63OYK,0,1301875200,1301875200
0553107488,0,1332201600,1357084800
0802847390,0,1308700800,1308700800
B00072KEN4,0,1303084800,1357257600
B000879GPA,0,1326585600,1355961600
0373255802,0,1307577600,1332115200
0738708089,0,1336867200,1336867200
B000MW9Y9Y,0,1324512000,1353369600
B000PHIIM0,0,1300060800,1360886400
0613340086,0,1318809600,1331769600
B0006C5ZOS,0,1326672000,1356739200
B000H78YWC,0,1308441600,1308441600
0312306288,0,1334966400,1334966400
0736662138,0,1323043200,1323043200
B000MV8HE8,0,1326326400,1326326400
B00087U6N6,0,1351814400,1351814400
B0006DWYN2,0,1337558400,1337558400
1560974648,0,1327968000,1327968000
0684813483,0,1326499200,1326499200
0517222876,0,1333843200,1333843200
B0000CJHS6,0,1304035200,1304035200
B000F26IAY,0,1348617600,1348617600
B000F5NMRI,0,1329523200,1329523200
B000F3FWZK,0,1335484800,1335484800
B0007E2AAM,0,1308960000,1351555200
1567230288,0,1330992000,1336608000
B00005XZIL,0,1315872000,1315872000
0312924410,0,1361145600,1361145600
B000OVGBJY,0,1337817600,1342569600
0152012966,0,1302307200,1302307200
B000MCASDU,0,1342569600,1342569600
B000MV8HEI,0,1351209600,1358208000
0890092605,0,1361059200,1361059200
B0007IKVGI,0,1335571200,1335571200
B000L1WSBC,0,1323475200,1353369600
B0006A011W,0,1349740800,1354838400
B0006A011C,0,1300665600,1358899200
0875952968,0,1325980800,1325980800
0520028996,0,1347840000,1347840000
B0007B44XG,0,1345852800,1345852800
B000NSJFPU,1,1308960000,1355961600
B0006DG9WE,0,1359331200,1359331200
B000GQMUG0,0,1322352000,1343606400
0553234056,0,1335484800,1335484800
B000JJ9ISM,0,1299196800,1350777600
B0006DG9WO,0,1355788800,1356652800
1568959443,1,1308787200,1356220800
B0007J0QWQ,0,1351123200,1355961600
0333168925,0,1329696000,1361923200
B0007K76ZU,0,1325894400,1325894400
1568959451,0,1305849600,1326585600
B0007EH5IY,0,1346457600,1346457600
0140860096,0,1300060800,1362009600
0813335329,0,1302825600,1302825600
0440905605,0,1314576000,1314576000
B000GSDVFC,1,1314403200,1358380800
1859679161,0,1318550400,1318550400
B0006DC67Q,0,1357171200,1357171200
B0007F8QDQ,0,1340755200,1340755200
0786191570,0,1300492800,1338076800
1892065142,0,1340668800,1340668800
030435256X,0,1307318400,1321920000
B0006AVE0Y,0,1327708800,1327708800
B000E6JMXQ,0,1304812800,1361836800
B0006A0126,0,1306713600,1357862400
B0008CPJEW,0,1355961600,1355961600
B000OWMRNW,0,1310688000,1310688000
B000HVLLEQ,0,1300492800,1358121600
B000NPSW3E,0,1325203200,1325203200
B00086TLE2,0,1306886400,1361404800
B0006P8O66,0,1328659200,1328659200
1841811238,0,1354665600,1354665600
B0007EI15A,0,1322870400,1357948800
1890626589,0,1354060800,1354060800
B000J46F10,0,1353024000,1353024000
B0007BUILI,0,1311206400,1361923200
0571138403,0,1353888000,1353888000
B0006W8ZLS,0,1337385600,1337385600
1590521951,0,1349136000,1349136000
087123260X,0,1322524800,1322524800
B000JJU8RC,0,1329782400,1329782400
B000H58V0E,0,1344038400,1344038400
B00088WC14,0,1328400000,1328400000
B000QBHBVY,0,1325808000,1325808000
B0006AUIF6,0,1345334400,1359936000
B0008BZ3US,0,1341705600,1341705600
5553856906,0,1357948800,1357948800
0553234080,0,1303430400,1334361600
B0007DQIW4,0,1338249600,1338249600
0613086686,0,1310860800,1310860800
0071358064,0,1355356800,1358640000
0783818831,0,1318291200,1318291200
B0007K27Q8,0,1316995200,1316995200
B000PDESPU,0,1359158400,1359158400
1404318364,0,1329696000,1361923200
1878424483,0,1358121600,1358121600
0943069165,0,1306108800,1330041600
0821261827,0,1330473600,1330473600
0891347062,0,1342828800,1342828800
0786197005,0,1301616000,1361923200
B0006W8ZMM,0,1334361600,1334361600
B000K5Q9JQ,0,1320969600,1353715200
0486401782,0,1335052800,1335052800
B0008D1B5M,0,1359590400,1359590400
031022778X,0,1300233600,1300233600
B0006AVE2M,0,1344988800,1344988800
0812908821,0,1329782400,1329782400
B0000CJHX7,0,1302134400,1330819200
B0007K8Y2E,0,1316131200,1316131200
B000879GVE,0,1308528000,1332460800
0805072543,0,1308096000,1308096000
0333168968,0,1299369600,1361923200
0764229893,0,1332720000,1361145600
B000GLTDBU,0,1300406400,1333929600
0192833502,0,1340668800,1345939200
B000PC4IM4,0,1325376000,1325376000
0840745745,0,1350172800,1350172800
B000875D5W,0,1359590400,1359590400
1404318372,0,1329696000,1361923200
0812213246,0,1299715200,1299715200
0226436179,0,1327968000,1327968000
0613633105,0,1357776000,1357776000
B0006DH5GS,0,1346198400,1346198400
B000J2Z8HE,0,1347926400,1347926400
0808549685,0,1340582400,1340582400
0517884070,0,1324339200,1324339200
B000NYL476,0,1322092800,1358726400
B000OVX7JG,0,1324771200,1324771200
B0008643A4,0,1355961600,1355961600
B0007EM4YY,0,1314576000,1359331200
B000MU83AW,0,1354147200,1354147200
1590521986,0,1316390400,1316390400
0801063868,0,1356998400,1356998400
093829458X,0,1337040000,1337040000
0812500806,0,1360022400,1360022400
B000NP1FY2,0,1337644800,1337644800
0525082379,0,1361318400,1361318400
B000PGC9SU,0,1300233600,1361750400
1933405163,0,1314835200,1314835200
B000O2VTC2,0,1353715200,1353715200
0896219763,0,1353974400,1353974400
0395935423,0,1357776000,1357776000
0226436187,0,1327968000,1327968000
0380815699,0,1349568000,1349568000
B0007EN0EM,0,1302912000,1343174400
0374521387,0,1351987200,1351987200
081478805X,0,1324080000,1324080000
B000NWO8CG,0,1299196800,1361404800
B0007FDG7M,0,1343692800,1343692800
B0006RDHSO,0,1335225600,1335225600
0955005108,0,1302566400,1353715200
B000MV8HLG,0,1358380800,1358380800
B00005N5OH,0,1301875200,1335139200
B000LEJ3IU,0,1311638400,1357862400
B000GZWN1S,0,1336867200,1336867200
B000MV8HLQ,0,1320278400,1327104000
B000NU0RZA,0,1339632000,1339632000
B00005N5OG,0,1299801600,1345420800
B0009KKVZU,0,1310256000,1359590400
0195085140,0,1348099200,1348099200
B000K9UV8C,0,1311206400,1350432000
B00087U6VS,0,1339718400,1355961600
B0007J2I40,0,1348358400,1348358400
B0008AOK5I,0,1344643200,1344643200
B0006DWYVO,0,1349827200,1349827200
0825800471,0,1356307200,1356307200
